Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não , 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Linígrafo, 3 = Data Logger, 5 = Escala SMS
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14110000


EstacaoCodigo;NivelConsistencia;Data;hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
14110000;1;01/03/2025;17:00;0;1;1670;1502;1596;1;10;0;0;0;;0;1667;1653;1633;1612;1590;1563;1540;1522;1507;1502;1510;1523;1529;1544;1567;1571;1572;1586;1602;1614;1622;1628;1633;1638;1641;1644;1650;1652;1652;1652;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/03/2025;07:00;0;1;1670;1502;1596;1;10;0;0;0;;0;1670;1659;1643;1622;1599;1574;1550;1528;1513;1502;1504;1517;1527;1538;1560;1572;1568;1579;1595;1609;1618;1625;1631;1636;1640;1643;1648;1652;1652;1650;1654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/03/2025;;1;1;1670;1502;1596;1;10;0;0;0;;0;1669;1656;1638;1617;1595;1569;1545;1525;1510;1502;1507;1520;1528;1541;1564;1572;1570;1583;1599;1612;1620;1627;1632;1637;1641;1644;1649;1652;1652;1651;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/02/2025;17:00;0;1;1678;1544;1608;27;1;0;0;0;;0;1550;1567;1579;1587;1591;1594;1595;1593;1593;1598;1604;1603;1602;1606;1609;1611;1607;1604;1603;1607;1611;1610;1619;1637;1660;1674;1678;1676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
14110000;1;01/02/2025;07:00;0;1;1678;1544;1608;27;1;0;0;0;;0;1544;1560;1575;1584;1589;1594;1594;1594;1592;1594;1601;1604;1602;1603;1608;1611;1610;1605;1602;1604;1609;1610;1614;1627;1650;1669;1677;1678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
14110000;1;01/02/2025;;1;1;1678;1544;1608;27;1;0;0;0;;0;1547;1564;1577;1586;1590;1594;1595;1594;1593;1596;1603;1604;1602;1605;1609;1611;1609;1605;1603;1606;1610;1610;1617;1632;1655;1672;1678;1677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
14110000;1;01/01/2025;17:00;0;1;1789;1405;1600;7;25;0;0;0;;0;1682;1690;1705;1736;1766;1784;1788;1782;1770;1754;1735;1714;1705;1688;1661;1624;1580;1538;1504;1473;1449;1428;1419;1409;1407;1419;1429;1443;1467;1501;1531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/01/2025;07:00;0;1;1789;1405;1600;7;25;0;0;0;;0;1678;1687;1698;1723;1755;1779;1789;1786;1776;1761;1743;1720;1709;1697;1674;1640;1598;1553;1515;1486;1459;1436;1424;1412;1405;1414;1426;1437;1456;1486;1519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/01/2025;;1;1;1789;1405;1600;7;25;0;0;0;;0;1680;1689;1702;1730;1761;1782;1789;1784;1773;1758;1739;1717;1707;1693;1668;1632;1589;1546;1510;1480;1454;1432;1422;1411;1406;1417;1428;1440;1462;1494;1525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/12/2024;07:00;0;1;1670;1433;1503;31;17;0;0;0;;0;1527;1525;1523;1520;1515;1508;1501;1490;1477;1464;1453;1445;1442;1441;1439;1436;1433;1433;1440;1450;1474;1484;1488;1492;1510;1543;1575;1602;1627;1648;1666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110000;1;01/12/2024;17:00;0;1;1670;1433;1503;31;17;0;0;0;;0;1526;1524;1522;1518;1512;1504;1495;1485;1473;1460;1449;1444;1442;1441;1439;1434;1433;1435;1446;1464;1478;1487;1489;1498;1522;1557;1585;1611;1635;1655;1670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
