Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14620000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14620000;1;01/01/2025;;1;1;"995,2912";"403,9549";"609,0206";31;26;1;1;1;"0,0";0;"686,8199";"661,7146";"637,0517";"650,6986";"681,2028";"700,9582";"723,8626";"785,6404";"893,9024";"906,6953";"834,3118";"752,9823";"678,4024";"623,5417";"565,7273";"532,8168";"508,1366";"493,5943";"474,5155";"460,44";"451,1678";"432,8911";"426,1295";"421,6498";"419,4183";"403,9549";"408,345";"465,1096";"513,0283";"689,6367";"995,2912";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
14620000;1;01/12/2024;;1;1;"703,8022";"525,3546";"608,2758";24;8;1;1;1;"0,0";0;"620,8561";"607,5105";"594,3021";"581,231";"570,8732";"552,9591";"535,3153";"525,3546";"545,3643";"560,6035";"563,1627";"578,6333";"586,4429";"563,1627";"532,8168";"542,8438";"604,8578";"642,4941";"626,2327";"618,176";"620,8561";"618,176";"661,7146";"703,8022";"681,2028";"658,9524";"658,9524";"670,0339";"684,0086";"667,2553";"678,4024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14620000;1;01/11/2024;;1;1;"1070,3615";"594,3021";"720,9612";19;28;1;1;1;"0,0";0;"828,1523";"818,9535";"782,6444";"744,1894";"712,3669";"670,0339";"642,4941";"634,3388";"628,9293";"620,8561";"628,9293";"656,1957";"634,3388";"639,7702";"650,6986";"758,8714";"773,6889";"919,5741";"1070,3615";"1029,0941";"935,7933";"800,7016";"726,7501";"678,4024";"628,9293";"610,1686";"599,569";"594,3021";"599,569";"610,1686";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14620000;1;01/10/2024;;1;1;"1961,2391";"800,7016";"1146,9294";5;30;1;1;1;"0,0";0;"1094,788";"1066,8932";"1184,15";"1807,0822";"1961,2391";"1798,2001";"1719,1934";"1714,8533";"1676,0266";"1562,0728";"1451,92";"1357,2096";"1228,2196";"1140,8425";"1066,8932";"1002,0091";"948,8651";"913,124";"887,5383";"856,0401";"871,7219";"881,1956";"837,3997";"822,0143";"806,764";"822,0143";"825,0806";"822,0143";"815,898";"800,7016";"812,8479";;;;;;;;;;1;1;;1;;;;;;1;;;;;;;;1;1;;;1
14620000;1;01/09/2024;;1;1;"3305,529";"1108,8632";"1824,5582";3;28;2;2;2;"0,0";0;"3055,7908";"3113,0413";"3305,529";"3159,2036";"2875,9695";"2605,346";"2307,3103";"2049,9802";"1965,8634";"1878,8834";"1789,3387";"1646,1188";"1574,5469";"1541,3868";"1545,5135";"1553,7828";"1671,7384";"1693,231";"1595,4413";"1508,5609";"1431,9397";"1384,5214";"1337,8588";"1280,5955";"1224,5181";"1180,5118";"1123,0231";"1108,8632";"1119,4751";"1108,8632";;;2;;;;;;2;;;;2;;;;;;2;;;;;;;;;;;;;0
14620000;1;01/08/2024;;1;1;"6955,566";"1933,6016";"3971,2075";1;26;2;2;2;"0,0";0;"6955,566";"6713,71";"6467,777";"6170,4434";"5864,21";"5542,675";"4961,168";"4228,9683";"3820,0576";"3589,0854";"4209,0513";"4811,7246";"5105,5034";"5362,7935";"5377,6763";"5047,534";"4195,7974";"3424,8425";"2959,6187";"2690,5693";"2479,9453";"2312,3037";"2145,3955";"2059,4294";"1952,006";"1933,6016";"1979,7671";"2179,2754";"2459,3298";"2948,4";"3159,2036";;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;
14620000;1;01/07/2024;;1;1;"8789,518";"4430,585";"6880,6753";26;11;2;2;2;"0,0";0;"8399,175";"8472,88";"8380,797";"7999,249";"7347,4907";"6672,42";"5833,2183";"5185,721";"4918,2495";"4622,7617";"4430,585";"4581,256";"4762,3906";"4896,856";"4911,1133";"5076,4795";"5603,2583";"6500,317";"7107,718";"7582,2593";"7891,7803";"8089,3306";"8207,15";"8463,649";"8733,241";"8789,518";"8639,827";"8298,329";"7963,3496";"7687,7207";"7252,8457";;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;
14620000;1;01/06/2024;;1;1;"8188,9717";"5740,7095";"7397,0083";30;1;2;2;2;"0,0";0;"5740,7095";"6282,17";"6697,179";"7056,8276";"7390,7026";"7382,051";"7373,404";"7347,4907";"7373,404";"7477,487";"7670,096";"7829,4077";"7954,3867";"7990,2666";"7999,249";"7909,644";"7784,999";"7617,3364";"7399,3594";"7330,2393";"7056,8276";"6871,71";"6788,3354";"6930,359";"7235,6997";"7556,0015";"7784,999";"7909,644";"7981,2896";"8188,9717";;;2;;;;;;;2;;2;2;2;;2;;;;;2;;;;;;;;;;;0
14620000;1;01/05/2024;;1;1;"5864,21";"995,2912";"3536,6926";23;5;2;2;2;"0,0";0;"1291,9534";"1566,2256";"1549,6456";"1217,1309";"995,2912";"1018,8972";"1220,8218";"1838,3324";"2669,1418";"3153,4158";"3675,6792";"4302,379";"4769,4233";"4882,6187";"4790,552";"4182,564";"3552,2727";"3164,9963";"3694,362";"4574,3555";"5266,5303";"5779,17";"5864,21";"5303,457";"4383,144";"3813,7256";"3839,0835";"3941,3088";"4038,298";"4315,7905";"4982,6934";;;;;;;;;;;2;2;;;;;;;;;;;;2;2;2;;;;;
14620000;1;01/04/2024;;1;1;"988,5948";"243,4487";"389,3996";30;5;2;2;2;"0,0";0;"315,0194";"305,3577";"305,3577";"257,4188";"243,4487";"252,1368";"246,9067";"250,3877";"279,0637";"311,1376";"332,7685";"332,7685";"342,8276";"357,1482";"344,8564";"313,0757";"286,462";"260,9689";"324,8232";"297,731";"371,7455";"365,4557";"378,0861";"430,6316";"513,0283";"573,4544";"620,8561";"703,8022";"776,6687";"988,5948";;;;;;;2;2;;;;;;;;;2;2;;;2;2;;;;;;2;2;;2;0
