Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14710000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14710000;1;01/01/2025;;1;1;"1138,4406";"607,1442";"829,0204";11;28;1;1;1;"0,0";0;"894,8874";"902,2606";"909,6497";"887,5302";"891,2068";"928,1916";"958,0626";"976,8579";"1007,1293";"1076,1191";"1138,4406";"1130,5999";"1037,6426";"969,3282";"883,8576";"822,0451";"764,966";"722,8776";"691,728";"688,2893";"671,1641";"667,7528";"654,1534";"647,3815";"633,8935";"623,8269";"610,4712";"607,1442";"664,346";"764,966";"872,864";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14710000;1;01/12/2024;;1;1;"954,3151";"768,5016";"858,1351";26;10;1;1;1;"0,0";0;"894,8874";"894,8874";"894,8874";"880,189";"861,9068";"843,7262";"814,8512";"793,3702";"775,5856";"768,5016";"786,2436";"796,9399";"807,6741";"807,6741";"807,6741";"772,0414";"786,2436";"822,0451";"891,2068";"898,572";"891,2068";"894,8874";"894,8874";"894,8874";"931,9118";"954,3151";"931,9118";"894,8874";"894,8874";"909,6497";"909,6497";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14710000;1;01/11/2024;;1;1;"1505,3811";"898,572";"1088,2524";21;30;1;1;1;"0,0";0;"1162,0476";"1154,1644";"1150,2281";"1142,3661";"1118,8658";"1068,3943";"1022,356";"984,4029";"958,0626";"939,364";"931,9118";"931,9118";"928,1916";"980,6285";"1014,7351";"999,5387";"1099,3811";"1221,619";"1322,6202";"1496,9398";"1505,3811";"1413,2216";"1257,7354";"1130,5999";"1037,6426";"991,9632";"954,3151";"920,763";"909,6497";"898,572";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14710000;1;01/10/2024;;1;1;"2436,596";"1169,945";"1615,8782";6;27;2;2;2;"0,0";0;"1624,8567";"1607,6421";"1573,3586";"1642,1195";"2116,3806";"2436,596";"2393,5376";"2317,492";"2312,7607";"2270,2942";"2172,0193";"2047,3717";"1933,7123";"1795,1896";"1650,7689";"1535,0238";"1438,2034";"1384,2227";"1338,9752";"1290,0703";"1257,7354";"1233,627";"1245,6658";"1225,6182";"1185,7819";"1181,8174";"1169,945";"1177,8564";"1185,7819";"1177,8564";"1169,945";;;;;;;;;;;;;;;;;2;2;;;;;;;;2;;;;;
14710000;1;01/09/2024;;1;1;"4310,9824";"1616,2434";"2639,5083";4;30;2;2;2;"0,0";0;"4224,4185";"4205,989";"4205,989";"4310,9824";"4175,3677";"3852,1504";"3520,2205";"3203,9915";"2913,492";"2734,3997";"2608,7683";"2503,9758";"2379,2297";"2237,4087";"2199,9807";"2167,3682";"2176,6729";"2260,8855";"2360,188";"2265,5884";"2218,6738";"2130,2546";"2038,2162";"1956,3069";"1870,8177";"1799,6155";"1729,1483";"1676,7887";"1642,1195";"1616,2434";;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;0
14710000;1;01/08/2024;;1;1;"9075,532";"2798,382";"5387,6323";1;26;1;1;1;"0,0";0;"9075,532";"8738,579";"8470,296";"8223,866";"7912,65";"7742,48";"7194,714";"6590,097";"6132,455";"5492,5215";"5145,4204";"5401,128";"5851,5674";"6147,4307";"6412,6187";"6481,763";"6283,077";"5684,9204";"4770,797";"4114,478";"3701,4077";"3431,42";"3219,9644";"3088,1338";"2873,1768";"2798,382";"2813,258";"2858,1348";"3056,9258";"3398,4275";"3910,972";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14710000;1;01/07/2024;;1;1;"9932,852";"6215,059";"8325,291";28;15;2;2;2;"0,0";0;"9456,757";"9532,105";"9598,294";"9617,249";"9494,392";"9177,002";"8657,632";"7989,862";"7325,564";"6841,269";"6435,6235";"6283,077";"6230,1406";"6283,077";"6215,059";"6237,6885";"6404,96";"6762,2466";"7358,4707";"7921,2095";"8488,044";"8883,466";"9214,047";"9475,564";"9636,224";"9779,162";"9894,311";"9932,852";"9855,85";"9674,232";"9428,583";;;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;;
14710000;1;01/06/2024;;1;1;"9325,654";"5939,52";"8616,26";16;1;2;2;2;"0,0";0;"5939,52";"6559,048";"7113,5625";"7717,1226";"8058,8257";"8320,221";"8657,632";"8702,554";"8801,8125";"8810,866";"8810,866";"8919,883";"9066,337";"9149,27";"9288,373";"9325,654";"9316,327";"9269,763";"9158,509";"9011,27";"8865,286";"8702,554";"8603,887";"8550,318";"8577,081";"8702,554";"8901,664";"9103,147";"9195,515";"9288,373";;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;2;2;0
14710000;1;01/05/2024;;1;1;"7000,764";"1306,3186";"4436,4775";24;1;2;2;2;"0,0";0;"1306,3186";"1573,3586";"1879,769";"1960,8342";"1799,6155";"1676,7887";"1620,5485";"1781,9292";"2475,0393";"3431,42";"4126,6187";"4863,056";"5324,425";"5692,1133";"5902,789";"5910,126";"5584,7227";"4996,469";"4589,066";"4849,8193";"5549,1655";"6147,4307";"6652,427";"7000,764";"6968,7104";"6412,6187";"5771,5503";"5436,184";"5303,606";"5380,152";"5563,374";;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
14710000;1;01/04/2024;;1;1;"1154,1644";"306,7315";"530,6601";30;1;1;1;1;"0,0";0;"306,7315";"349,1159";"413,797";"428,8936";"450,2658";"431,9299";"398,8443";"404,808";"422,8378";"422,8378";"428,8936";"450,2658";"478,1415";"493,8169";"496,9679";"503,2858";"503,2858";"475,0225";"441,0727";"428,8936";"450,2658";"484,3957";"528,7657";"554,5735";"554,5735";"712,4542";"811,2606";"909,6497";"1029,9918";"1154,1644";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
