Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não , 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Linígrafo, 3 = Data Logger, 5 = Escala SMS
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14900050


EstacaoCodigo;NivelConsistencia;Data;hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
14900050;1;01/02/2025;17:00;0;1;1318;1140;1196;28;7;0;0;0;;0;1143;1144;1146;1142;1142;1142;1140;1140;1145;1150;1153;1157;1163;1170;1183;1190;1202;1206;1215;1226;1238;1250;1262;1271;1284;1296;1310;1318;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14900050;1;01/02/2025;07:00;0;1;1318;1140;1196;28;7;0;0;0;;0;1142;1143;1145;1144;1141;1141;1140;1140;1143;1147;1151;1155;1160;1166;1176;1186;1197;1204;1210;1220;1232;1244;1256;1268;1278;1290;1303;1316;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14900050;1;01/02/2025;;1;1;1318;1140;1196;28;7;0;0;0;;0;1143;1144;1146;1143;1142;1142;1140;1140;1144;1149;1152;1156;1162;1168;1180;1188;1200;1205;1213;1223;1235;1247;1259;1270;1281;1293;1307;1317;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14900050;1;01/01/2025;07:00;0;1;1142;764;998;31;1;0;0;0;;0;764;780;796;820;842;864;885;904;922;938;953;968;980;990;1001;1015;1026;1039;1053;1063;1073;1083;1091;1099;1110;1117;1124;1130;1135;1138;1141;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14900050;1;01/01/2025;17:00;0;1;1142;764;998;31;1;0;0;0;;0;772;788;812;831;853;875;895;914;930;946;960;976;984;996;1008;1020;1032;1046;1058;1068;1078;1088;1096;1105;1115;1120;1127;1133;1138;1139;1142;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14900050;1;01/01/2025;;1;1;1142;764;998;31;1;0;0;0;;0;768;784;804;826;848;870;890;909;926;942;957;972;982;993;1005;1018;1029;1043;1056;1066;1076;1086;1094;1102;1113;1119;1126;1132;1137;1139;1142;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14900050;1;01/12/2024;17:00;0;1;756;410;550;31;1;0;0;0;;0;413;417;421;427;431;443;451;458;466;476;484;490;504;515;520;530;546;558;571;588;599;613;627;640;656;672;688;704;720;739;756;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14900050;1;01/12/2024;07:00;0;1;756;410;550;31;1;0;0;0;;0;410;415;419;424;429;436;447;454;462;471;480;487;497;510;517;525;538;552;564;580;594;607;620;634;648;664;680;696;712;730;748;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14900050;1;01/12/2024;;1;1;756;410;550;31;1;0;0;0;;0;412;416;420;426;430;440;449;456;464;474;482;489;501;513;519;528;542;555;568;584;597;610;624;637;652;668;684;700;716;735;752;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14900050;1;01/11/2024;17:00;0;1;408;289;340;30;4;0;0;0;;0;294;291;290;289;289;297;299;299;299;299;300;300;304;317;328;340;352;362;372;376;380;384;386;388;391;399;400;403;404;408;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
