Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não , 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Linígrafo, 3 = Data Logger, 5 = Escala SMS
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14310000


EstacaoCodigo;NivelConsistencia;Data;hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
14310000;1;01/11/2024;17:00;0;1;760;433;549;1;21;2;2;2;;0;760;739;680;636;618;582;555;534;520;502;506;555;582;570;580;548;556;526;483;446;433;442;501;545;524;473;488;522;521;481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14310000;1;01/11/2024;07:00;0;1;760;433;549;1;21;2;2;2;;0;752;754;710;648;625;608;569;540;525;506;499;539;570;565;575;564;560;543;498;458;433;434;465;501;540;491;472;509;526;502;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;0
14310000;1;01/11/2024;;1;1;760;433;549;1;21;2;2;2;;0;756;747;695;642;622;595;562;537;523;504;503;547;576;568;578;556;558;535;491;452;433;438;483;523;532;482;480;516;524;492;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;0
14310000;1;01/10/2024;07:00;0;1;740;320;421;31;23;2;2;2;;0;654;611;520;427;375;376;370;348;332;332;357;351;332;333;380;406;397;379;364;350;336;324;350;424;446;447;453;456;559;592;710;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
14310000;1;01/10/2024;17:00;0;1;740;320;421;31;23;2;2;2;;0;646;540;477;396;369;365;350;338;329;346;358;342;327;355;399;401;386;373;360;342;330;321;420;436;450;451;454;457;577;660;740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;
14310000;1;01/10/2024;;1;1;740;320;421;31;23;2;2;2;;0;650;576;499;412;372;371;360;343;331;339;358;347;330;344;390;404;392;376;362;346;333;323;385;430;448;449;454;457;568;626;725;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;
14310000;1;01/09/2024;07:00;0;1;644;323;406;30;26;0;0;0;;0;384;384;387;381;384;413;478;489;454;420;395;379;388;386;375;362;347;371;424;442;414;378;352;346;334;326;332;440;538;638;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14310000;1;01/09/2024;17:00;0;1;644;323;406;30;26;0;0;0;;0;384;385;386;382;386;447;484;472;438;408;386;378;388;383;370;354;351;398;438;435;398;364;350;342;330;323;364;470;560;644;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14310000;1;01/09/2024;;1;1;644;323;406;30;26;0;0;0;;0;384;385;387;382;385;430;481;481;446;414;391;379;388;385;373;358;349;385;431;439;406;371;351;344;332;325;348;455;549;641;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14310000;1;01/08/2024;07:00;0;1;663;383;483;1;23;0;0;0;;0;661;660;641;622;613;587;560;531;496;460;444;446;461;464;462;460;473;476;462;442;418;395;383;395;409;425;447;465;452;420;394;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
