Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14325000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14325000;1;01/02/2025;;1;1;"1852,8738";"945,8738";"1451,1326";25;2;1;1;1;"0,0";0;"960,683";"945,8738";"952,209";"961,7444";"987,3632";"1082,8033";"1180,9169";"1277,5353";"1328,6536";"1358,7067";"1368,7847";"1380,5806";"1382,269";"1428,1727";"1483,3602";"1534,103";"1564,1692";"1564,1692";"1619,6022";"1760,6494";"1777,4456";"1788,6788";"1811,2312";"1839,5823";"1852,8738";"1843,3759";"1813,1158";"1783,0586";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14325000;1;01/01/2025;;1;1;"1506,0215";"971,319";"1278,9246";10;29;1;1;1;"0,0";0;"1207,9795";"1230,4525";"1270,9987";"1328,6536";"1400,8972";"1457,3856";"1486,8375";"1495,5452";"1504,2734";"1506,0215";"1490,3181";"1474,6814";"1443,6085";"1438,4558";"1431,597";"1405,9952";"1387,3395";"1353,679";"1318,6964";"1274,2653";"1241,7517";"1168,2675";"1163,5382";"1129,0945";"1082,8033";"1043,321";"1005,6773";"988,4366";"971,319";"972,3852";"972,3852";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14325000;1;01/12/2024;;1;1;"1195,2133";"251,3566";"591,7691";31;6;1;1;1;"0,0";0;"350,3836";"335,9084";"312,2";"280,2875";"255,962";"251,3566";"274,7892";"305,6839";"339,6889";"389,0813";"444,3099";"500,3417";"553,8165";"589,7444";"616,0212";"623,1078";"623,1078";"595,8334";"557,668";"526,2806";"530,9795";"595,8334";"709,7925";"796,1559";"844,8804";"869,1787";"884,5089";"968,1231";"1073,6394";"1150,9647";"1195,2133";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14325000;1;01/11/2024;;1;1;"471,4774";"203,9743";"329,6058";26;1;1;1;1;"0,0";0;"203,9743";"209,3345";"223,9583";"255,962";"329,1552";"377,0261";"403,7907";"420,4451";"423,8152";"407,0954";"365,1552";"310,7462";"261,9428";"237,1471";"225,82";"214,7623";"215,3695";"237,1471";"270,7002";"297,8104";"312,2";"334,4019";"351,9245";"437,4261";"467,0426";"471,4774";"450,3761";"418,7649";"387,4633";"365,9408";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14325000;1;01/10/2024;;1;1;"578,5046";"174,877";"313,018";2;22;1;1;1;"0,0";0;"525,3432";"578,5046";"569,9193";"530,9795";"468,8141";"409,5825";"364,3703";"329,9023";"336,6628";"399,6781";"415,4144";"417,9261";"365,1552";"318,0481";"280,2875";"253,3254";"229,5658";"211,7385";"196,351";"182,648";"176,5284";"174,877";"190,0107";"200,4383";"222,1041";"242,2677";"246,1431";"233,9737";"220,8722";"209,3345";"202,7923";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14325000;1;01/09/2024;;1;1;"412,077";"209,9343";"310,3844";30;28;1;1;1;"0,0";0;"355,7913";"369,0917";"375,4326";"373,8425";"371,4634";"371,4634";"366,7273";"379,4224";"393,955";"401,3207";"393,955";"380,2228";"356,5671";"338,1742";"312,2";"287,934";"267,9907";"256,6232";"248,0919";"244,2017";"233,9737";"228,3139";"225,82";"227,0653";"225,82";"220,2574";"211,7385";"209,9343";"272,0599";"412,077";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14325000;1;01/08/2024;;1;1;"696,7268";"292,852";"505,1314";4;25;1;1;1;"0,0";0;"669,0662";"676,3972";"693,94";"696,7268";"696,7268";"696,7268";"681,917";"663,5896";"651,7872";"634,6947";"620,4464";"600,1985";"566,5";"546,1523";"522,5361";"508,6098";"506,7667";"492,1395";"460,8681";"426,3513";"388,2719";"348,0783";"323,2084";"297,8104";"292,852";"299,2345";"317,3142";"335,1547";"345,7804";"349,6143";"349,6143";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14325000;1;01/07/2024;;1;1;"944,8196";"621,333";"804,9602";14;28;1;1;1;"0,0";0;"938,5047";"909,2663";"880,4101";"850,9283";"827,841";"813,9162";"808,9666";"806,9902";"805,0159";"796,1559";"784,4055";"834,8399";"918,6228";"944,8196";"944,8196";"932,2073";"921,7504";"877,3411";"855,9819";"837,8469";"820,8664";"806,0028";"786,3589";"734,3221";"686,531";"649,9792";"629,336";"621,333";"631,1202";"640,9702";"656,3162";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14325000;1;01/06/2024;;1;1;"1601,6353";"968,1231";"1348,9125";10;30;1;1;1;"0,0";0;"1365,422";"1368,7847";"1375,5201";"1397,5028";"1411,1006";"1483,3602";"1530,5813";"1564,1692";"1590,894";"1601,6353";"1598,0516";"1581,9655";"1558,8463";"1525,305";"1497,2892";"1460,8383";"1428,1727";"1395,8068";"1363,742";"1326,992";"1290,6493";"1232,0641";"1177,7494";"1136,8857";"1102,7665";"1076,6906";"1044,8286";"1017,8276";"993,8112";"968,1231";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14325000;1;01/05/2024;;1;1;"1360,3842";"700,4496";"872,7407";31;3;1;1;1;"0,0";0;"723,9023";"706,0493";"700,4496";"700,4496";"705,1147";"719,1863";"737,1745";"765,9481";"786,3589";"797,1384";"820,8664";"838,8502";"847,9021";"842,8683";"819,8721";"804,0294";"795,174";"773,6976";"782,4541";"796,1559";"814,9076";"830,8376";"841,863";"850,9283";"921,7504";"999,1977";"1096,6082";"1222,4072";"1307,118";"1345,316";"1360,3842";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
